upside-down,&#x1F643
grinning,&#128512
grinning-smiling-eyes,&#128513
face-tears-joy,&#128514
smiling-open-mouth,&#128515
smiling-open-mouth-smiling-eyes,&#128516
smiling-open-mouth-cold-sweat,&#128517
smiling-open-mouth-tightly-closed-eyes,&#128518
smiling-halo,&#128519
smiling-horns,&#128520
winking,&#128521
smiling-smiling-eyes,&#128522
savouring-delicious-food,&#128523
relieved,&#128524
smiling-heart-shaped-eyes,&#128525
smiling-sunglasses,&#128526
smirking,&#128527
neutral,&#128528
expressionless,&#128529
unamused,&#128530
cold-sweat,&#128531
pensive,&#128532
confused,&#128533
confounded,&#128534
kissing,&#128535
face-throwing-kiss,&#128536
kissing-face-smiling-eyes,&#128537
kissing-face-closed-eyes,&#128538
stuck-out-tongue,&#128539
stuck-out-tongue-winking-eye,&#128540
stuck-out-tongue-tightly-closed-eyes,&#128541
disappointed,&#128542
worried,&#128543
angry,&#128544
pouting,&#128545
crying,&#128546
persevering,&#128547
look-of-triumph,&#128548
disappointed-but-relieved,&#128549
frowning-open-mouth,&#128550
anguished,&#128551
fearful,&#128552
weary,&#128553
sleepy,&#128554
tired,&#128555
grimacing,&#128556
loudly-crying,&#128557
open-mouth,&#128558
hushed,&#128559
open-mouth-cold-sweat,&#128560
screaming-in-fear,&#128561
astonished,&#128562
flushed,&#128563
sleeping,&#128564
dizzy,&#128565
without-mouth,&#128566
medical-mask,&#128567
slightly-frowning,&#128577
slightly-smiling,&#128578
upside-down,&#128579
rolling-eyes,&#128580
zipper-mouth,&#129296
money-mouth,&#129297
thermometer,&#129298
nerd,&#129299
thinking,&#129300
head-bandage,&#129301
cowboy-hat,&#129312
clown,&#129313
nauseated,&#129314
rolling-on-the-floor-laughing,&#129315
drooling,&#129316
lying,&#129317
sneezing,&#129319
raised-eyebrow,&#129320
star-struck,&#129321
zany,&#129322
shushing,&#129323
angry,&#129324
hand-over-mouth,&#129325
vomiting,&#129326
exploding-head,&#129327
monocle,&#129488
